Study	Tissue	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MAYO	TCX	ora_up	BP	GO:0001823	mesonephros development	28/2803	76/13000	0.0016392916272253112	0.011129619226268988	0.007627430841964386	NPNT/FOXJ1/HS3ST3B1/FGF2/SMO/MYC/FOXC1/SMAD6/SDC4/CAT/NOG/BMP7/SOX9/LGR4/AGT/LAMA5/GLI3/SMAD1/SALL1/WNT4/BCL2/DCHS1/SMAD5/ZBTB16/HS2ST1/SMAD4/BMP2/CTNNB1	28
MAYO	TCX	ora_up	BP	GO:0030216	keratinocyte differentiation	28/2803	76/13000	0.0016392916272253112	0.011129619226268988	0.007627430841964386	MSX2/YAP1/ANXA1/CD109/ALOX15B/IRF6/ETV4/EPHA2/DSP/ZFP36L1/PALLD/ZFP36/FOXC1/FLG/LATS2/PLEC/TXNIP/PRKCH/FOSL2/PAX6/CLIC4/ST14/ROCK1/NOTCH1/JAG1/ERRFI1/MED1/NCOA3	28
MAYO	TCX	ora_up	BP	GO:0050819	negative regulation of coagulation	17/2803	39/13000	0.0016663027736326394	0.011249743152537444	0.00770975503666058	ANXA2/SERPINE1/THBD/THBS1/CD34/NOS3/PRKG1/TFPI/SERPING1/PLAUR/APOE/C1QTNF1/ANXA5/PROS1/FAP/PLAT/PROCR	17
MAYO	TCX	ora_up	BP	GO:0060986	endocrine hormone secretion	17/2803	39/13000	0.0016663027736326394	0.011249743152537444	0.00770975503666058	GJA1/BMP6/AQP1/INHBB/SPP1/TBX3/NKX3-1/AGT/TSPO/C1QTNF1/DAB2/KCNQ1/INHBA/SMAD4/CRY1/FZD4/RAB8B	17
MAYO	TCX	ora_up	BP	GO:0002053	positive regulation of mesenchymal cell proliferation	10/2803	18/13000	0.0016707929949498887	0.011249743152537444	0.00770975503666058	SMO/TGFBR2/PRRX1/MYC/LRP5/SOX9/BMPR1A/FOXF1/IRS2/CTNNB1	10
MAYO	TCX	ora_up	BP	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	10/2803	18/13000	0.0016707929949498887	0.011249743152537444	0.00770975503666058	MUC1/KLF2/CEBPB/NFE2L2/TP53/HIF1A/HSPA5/ATF4/MAPK7/ATF6	10
MAYO	TCX	ora_up	BP	GO:0046782	regulation of viral transcription	10/2803	18/13000	0.0016707929949498887	0.011249743152537444	0.00770975503666058	IFITM3/ZFP36/TRIM21/MDFIC/TRIM14/TRIM8/MID2/HEXIM1/LARP7/DHX9	10
MAYO	TCX	ora_up	BP	GO:0071450	cellular response to oxygen radical	10/2803	18/13000	0.0016707929949498887	0.011249743152537444	0.00770975503666058	NQO1/SOD3/NOS3/BMP7/NFE2L2/PRDX1/FANCC/MT3/FBLN5/GCH1	10
MAYO	TCX	ora_up	BP	GO:0071451	cellular response to superoxide	10/2803	18/13000	0.0016707929949498887	0.011249743152537444	0.00770975503666058	NQO1/SOD3/NOS3/BMP7/NFE2L2/PRDX1/FANCC/MT3/FBLN5/GCH1	10
MAYO	TCX	ora_up	BP	GO:0032231	regulation of actin filament bundle assembly	33/2803	94/13000	0.0017130534752145298	0.011520688642863755	0.007895441352372827	S100A10/FLNA/S1PR1/CGNL1/RHPN2/SWAP70/SDC4/RHOC/ASAP3/RGCC/ID1/WASF2/FERMT2/PLEK/CARMIL1/DLC1/ARHGEF10L/WNT4/ROCK1/ARHGEF10/F11R/RHOA/PXN/PPFIA1/ARAP1/TGFBR1/RAPGEF3/TJP1/RDX/SORBS3/ABL1/PAK2/TESK1	33
MAYO	TCX	ora_up	BP	GO:0120193	tight junction organization	23/2803	59/13000	0.0017594301699455923	0.011818645770553254	0.00809963947803358	CLDN10/PECAM1/PARD3/EPHA2/SNAI2/RAB13/ESAM/PLEC/MARVELD2/PRKCH/OCLN/CDH5/MYO1C/MICALL2/ROCK1/CLDN5/F11R/LSR/APC/TGFBR1/TJP1/PAK2/ECT2	23
MAYO	TCX	ora_up	BP	GO:0002269	leukocyte activation involved in inflammatory response	16/2803	36/13000	0.0017695805482412512	0.011837112470480884	0.008112295209888706	CLU/SPHK1/TREM2/C5AR1/PTPRC/TLR2/LDLR/MYD88/ITGB2/TRAF3IP2/TYROBP/TLR3/CTSC/GRN/IFNGR1/JAK2	16
MAYO	TCX	ora_up	BP	GO:0030835	negative regulation of actin filament depolymerization	16/2803	36/13000	0.0017695805482412512	0.011837112470480884	0.008112295209888706	SCIN/EPS8/SWAP70/CAPG/GSN/CARMIL1/ADD3/PIK3CA/TMOD3/TWF1/PLEKHH2/SVIL/RDX/CAPZA2/FLII/ADD1	16
MAYO	TCX	ora_up	BP	GO:0045604	regulation of epidermal cell differentiation	16/2803	36/13000	0.0017695805482412512	0.011837112470480884	0.008112295209888706	MSX2/FGF2/CD109/ALOX15B/ETV4/MAFF/ZFP36L1/ZFP36/FOXC1/PRKCH/ROCK1/NOTCH1/KEAP1/ERRFI1/MED1/NCOA3	16
MAYO	TCX	ora_up	BP	GO:0046578	regulation of Ras protein signal transduction	52/2803	165/13000	0.0017716673627891843	0.011837112470480884	0.008112295209888706	LPAR4/TGFB2/GPR4/NOTCH2/ITPKB/ARHGAP42/KANK2/COL3A1/CSF1/STARD8/ABCA1/PLCE1/SYDE1/ADGRG1/PDGFRB/PSD2/EPS8/BCL6/ERBIN/ITGB1/ADRA1A/HEG1/PSD4/APOE/FBXO8/SYDE2/KANK1/OPHN1/DLC1/AKAP13/ARHGEF10/F11R/RGL2/DENND4C/NOTCH1/MAPKAP1/RDX/SPRY2/ABL1/GIT1/CDC42SE1/ARHGAP35/STARD13/CRK/RAF1/ITGA3/RALBP1/CUL3/RABL3/PPP2CB/CBL/ARF6	52
MAYO	TCX	ora_up	BP	GO:0009991	response to extracellular stimulus	110/2803	396/13000	0.0017725572593004866	0.011837112470480884	0.008112295209888706	TNFRSF11B/VCAM1/SFRP2/KANK2/FAM107A/CDKN1A/HSD11B2/TGFBR2/CYP1B1/PHEX/PDK4/FAS/DSC2/COL1A1/NQO1/INHBB/SNAI2/PTPRC/POSTN/ZFP36/SLC38A2/SPP1/LDLR/ADORA2B/HMOX1/ASCL1/PLIN2/PLEC/FOXO1/GLUL/CAT/CPT1A/BMP7/GSDMD/PPARA/PLIN3/A2M/ADRB2/AXL/APOE/PRKD1/NFE2L2/SLC2A1/CHSY1/DAD1/FES/TSPO/GAS2L1/IFI16/SLC22A3/XBP1/TP53/APPL2/LAMP2/CTSK/SESN2/HFE/SP1/WNT4/SPX/BCL2/SH3GLB1/MT3/ALPL/SIPA1/DAP/RXRA/MAP3K5/LYN/KIF26A/NUAK2/SESN3/ACACB/GPX1/CDKN2B/GCLM/ZEB1/IGF1R/ATN1/HSPA5/GPT/MAPKAP1/ATF4/BBS2/NCOA1/BNIP2/PPM1D/ARHGAP35/MTMR3/KPTN/SIK2/SESN1/TBC1D5/SIRT1/EIF2AK3/GNAI2/GCN1/BAX/MAX/POR/MED1/HSF1/CBL/ZFYVE1/MAPK3/MIOS/TXN2/AKT1/MAPK14/ADNP	110
MAYO	TCX	ora_up	BP	GO:0035270	endocrine system development	31/2803	87/13000	0.0017780548297518224	0.011859937653888472	0.00812793792904711	ANXA1/FGF2/GLI2/SMO/BMP6/CYP1B1/GLI1/INHBB/ASCL1/NOG/SOX9/IL6R/POU3F2/PAX6/SOX2/BMPR1A/TSPO/SALL1/WNT4/GATA2/DKK3/SMAD4/CDH2/BMP2/TGFBR1/RAF1/EIF2AK3/CRKL/RHEB/MAPK3/AKT1	31
MAYO	TCX	ora_up	BP	GO:0031669	cellular response to nutrient levels	59/2803	192/13000	0.0017825840197457925	0.011876257785759643	0.008139122559414815	KANK2/FAM107A/CDKN1A/PHEX/PDK4/FAS/DSC2/COL1A1/INHBB/SNAI2/POSTN/SLC38A2/HMOX1/PLIN2/FOXO1/GLUL/PPARA/PLIN3/PRKD1/NFE2L2/SLC2A1/FES/GAS2L1/IFI16/XBP1/TP53/LAMP2/CTSK/SESN2/SP1/WNT4/BCL2/SH3GLB1/DAP/RXRA/MAP3K5/NUAK2/SESN3/CDKN2B/IGF1R/HSPA5/MAPKAP1/ATF4/NCOA1/PPM1D/MTMR3/KPTN/SIK2/SESN1/SIRT1/EIF2AK3/GCN1/MAX/MED1/CBL/ZFYVE1/MAPK3/MIOS/TXN2	59
MAYO	TCX	ora_up	BP	GO:0042149	cellular response to glucose starvation	20/2803	49/13000	0.0017966441460945722	0.011928127549682591	0.008174670319771028	PLIN2/PLIN3/NFE2L2/SLC2A1/IFI16/XBP1/TP53/SESN2/BCL2/SH3GLB1/NUAK2/SESN3/HSPA5/ATF4/MTMR3/KPTN/SIK2/SESN1/SIRT1/EIF2AK3	20
MAYO	TCX	ora_up	BP	GO:0090175	regulation of establishment of planar polarity	20/2803	49/13000	0.0017966441460945722	0.011928127549682591	0.008174670319771028	PLEKHA4/FZD7/SFRP2/ZNRF3/GPC4/GPC6/VANGL1/FZD1/FZD6/DAB2/ARHGEF19/RHOA/DAAM1/PTK7/ABL1/RYK/DVL1/MLLT3/SEC24B/MED12	20
MAYO	TCX	ora_up	BP	GO:1905330	regulation of morphogenesis of an epithelium	20/2803	49/13000	0.0017966441460945722	0.011928127549682591	0.008174670319771028	HGF/EGF/FGF2/GJA1/SMO/MMRN2/SNAI2/LBX2/STOX1/NOG/BMP7/SOX9/AR/LGR4/AGT/TBX2/WNT4/BTBD7/ABL1/CTNNB1	20
MAYO	TCX	ora_up	BP	GO:0070301	cellular response to hydrogen peroxide	29/2803	80/13000	0.001823668742317358	0.012093468415623131	0.008287982913371298	HGF/ANXA1/DDR2/SPHK1/AQP1/CYP1B1/NQO1/KLF2/TNFAIP3/CAT/PYCR1/AXL/NFE2L2/RELA/MAP3K5/FYN/GPR37L1/PCNA/ABL1/RIPK1/STAT6/ERN1/OSER1/MAPK7/PDCD10/SIRT1/ECT2/SETX/HSF1	29
MAYO	TCX	ora_up	BP	GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	11/2803	21/13000	0.001848313629767071	0.012183878290413196	0.008349943260205467	LTF/TRIM5/BMP6/LILRA2/SASH1/TNFAIP3/LY96/CD14/PRKCA/CD55/CARD8	11
MAYO	TCX	ora_up	BP	GO:0032369	negative regulation of lipid transport	11/2803	21/13000	0.001848313629767071	0.012183878290413196	0.008349943260205467	EGF/THBS1/APOC1/PLA2R1/ITGAV/TSPO/NFKB1/CRY1/IRS2/NR1H3/AKT1	11
MAYO	TCX	ora_up	BP	GO:0072010	glomerular epithelium development	11/2803	21/13000	0.001848313629767071	0.012183878290413196	0.008349943260205467	FOXJ1/NOTCH2/PECAM1/EDNRB/LAMB2/FOXC1/CD34/KLF15/PODXL/IQGAP1/JAG1	11
MAYO	TCX	ora_up	BP	GO:0030038	contractile actin filament bundle assembly	34/2803	98/13000	0.0018486757863970793	0.012183878290413196	0.008349943260205467	PDLIM1/S100A10/ITGB5/S1PR1/CGNL1/RHPN2/SDC4/SORBS1/RHOC/ASAP3/RGCC/WASF2/FERMT2/CARMIL1/DLC1/ARHGEF10L/WNT4/ROCK1/ARHGEF10/F11R/FHDC1/RHOA/PXN/PPFIA1/ARAP1/TGFBR1/RAPGEF3/TJP1/SORBS3/ABL1/FAM171A1/PAK2/TESK1/CUL3	34
MAYO	TCX	ora_up	BP	GO:0043149	stress fiber assembly	34/2803	98/13000	0.0018486757863970793	0.012183878290413196	0.008349943260205467	PDLIM1/S100A10/ITGB5/S1PR1/CGNL1/RHPN2/SDC4/SORBS1/RHOC/ASAP3/RGCC/WASF2/FERMT2/CARMIL1/DLC1/ARHGEF10L/WNT4/ROCK1/ARHGEF10/F11R/FHDC1/RHOA/PXN/PPFIA1/ARAP1/TGFBR1/RAPGEF3/TJP1/SORBS3/ABL1/FAM171A1/PAK2/TESK1/CUL3	34
MAYO	TCX	ora_up	BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	15/2803	33/13000	0.0018586663357284727	0.012183878290413196	0.008349943260205467	AZGP1/PTPRC/HLA-DRB1/HLA-DRA/MR1/B2M/TYROBP/HLA-E/SPI1/HLA-B/NECTIN2/FADD/HLA-A/CADM1/STAT5B	15
MAYO	TCX	ora_up	BP	GO:0014002	astrocyte development	15/2803	33/13000	0.0018586663357284727	0.012183878290413196	0.008349943260205467	S100A9/S100A8/GFAP/SMO/TLR4/LAMB2/TREM2/C5AR1/VIM/LDLR/POU3F2/MT3/LRP1/GRN/IFNGR1	15
MAYO	TCX	ora_up	BP	GO:0014014	negative regulation of gliogenesis	15/2803	33/13000	0.0018586663357284727	0.012183878290413196	0.008349943260205467	TREM2/ID4/LDLR/NOG/NR2E1/TSPO/TP53/CERS2/GPR37L1/CDKN2B/NOTCH1/RB1/SKI/DICER1/CTNNB1	15
MAYO	TCX	ora_up	BP	GO:0048546	digestive tract morphogenesis	15/2803	33/13000	0.0018586663357284727	0.012183878290413196	0.008349943260205467	SFRP2/GLI2/GLI1/RBPMS2/EGFR/SOX17/FOXF1/GLI3/BCL2/ID2/HIF1A/NOTCH1/EPB41L5/NIPBL/CTNNB1	15
MAYO	TCX	ora_up	BP	GO:1900744	regulation of p38MAPK cascade	15/2803	33/13000	0.0018586663357284727	0.012183878290413196	0.008349943260205467	HGF/RELL1/SPHK1/EZR/TREM2/SASH1/GADD45G/SPI1/DUSP1/MFHAS1/MAP3K5/BMP2/PHLPP1/PER1/MINK1	15
MAYO	TCX	ora_up	BP	GO:0034110	regulation of homotypic cell-cell adhesion	14/2803	30/13000	0.0019245891032762825	0.012587077587138349	0.008626266707466003	MMRN1/PDPN/PRKG1/EMILIN2/PRKCA/PLAUR/C1QTNF1/ZNF703/LYN/F11R/IL6ST/RDX/JAK1/JAK2	14
MAYO	TCX	ora_up	BP	GO:0043276	anoikis	14/2803	30/13000	0.0019245891032762825	0.012587077587138349	0.008626266707466003	ITGA5/PDK4/SNAI2/CAV1/ITGB1/MCL1/NTRK2/CHEK2/BCL2/PIK3CA/TLE1/PIK3R3/NOTCH1/AKT1	14
MAYO	TCX	ora_up	BP	GO:0008207	C21-steroid hormone metabolic process	12/2803	24/13000	0.0019362785064049321	0.012620110082316947	0.008648904775075503	EDNRB/BMP6/AKR1C1/TSPO/AKR1C2/DAB2/REST/WNT4/DKK3/HSD17B10/BMP2/STAT5B	12
MAYO	TCX	ora_up	BP	GO:0036314	response to sterol	12/2803	24/13000	0.0019362785064049321	0.012620110082316947	0.008648904775075503	SMO/TGFBR2/INHBB/TGFB1/GRAMD1C/MLC1/DAG1/INHBA/RORA/TGFBR1/LRP6/PMVK	12
MAYO	TCX	ora_up	BP	GO:1904385	cellular response to angiotensin	12/2803	24/13000	0.0019362785064049321	0.012620110082316947	0.008648904775075503	DDR2/CA2/CAV1/AGT/NFE2L2/NFKB1/RELA/ROCK1/AHCYL1/INHBA/IGF1R/HSF1	12
MAYO	TCX	ora_up	BP	GO:0042445	hormone metabolic process	50/2803	158/13000	0.0019473315062906423	0.012644333792770707	0.008665505942866199	SLC5A5/ADH1B/SULT1B1/EDNRB/BMP6/CYP1B1/BACE2/CRABP1/SPP1/PAPSS2/CPQ/RDH10/AKR1C1/DHRS3/SLCO1C1/TIPARP/CPE/TSPO/ECE1/AKR1C2/ZMPSTE24/PCSK5/NFKB1/DAB2/CTSK/HFE/REST/WNT4/DKK3/ALDH9A1/HSD17B7/IGF1R/HIF1A/HSD17B10/BMP2/DISP1/SGPL1/SLC30A6/FURIN/DHRS4/TCF7L2/PNPLA2/SLC16A2/IDE/CTSZ/FDX1/HSD17B4/POR/MED1/STAT5B	50
MAYO	TCX	ora_up	BP	GO:0010633	negative regulation of epithelial cell migration	22/2803	56/13000	0.0019541379038625255	0.012644333792770707	0.008665505942866199	ANGPT2/FGF2/DCN/ADAMTS9/MMRN2/KLF4/TGFB1/THBS1/SP100/DLL4/APOE/RGCC/MCC/CARD10/ACVRL1/RHOA/NOTCH1/ATP2B4/PTPRG/STARD13/PDCD10/PTPN23	22
MAYO	TCX	ora_up	BP	GO:0014015	positive regulation of gliogenesis	22/2803	56/13000	0.0019541379038625255	0.012644333792770707	0.008665505942866199	GFAP/CXCR4/PTPRZ1/TLR2/TGFB1/TNFRSF1B/VEGFC/PRKCH/TSPO/DAG1/PTN/LYN/PPP1CC/NTN1/IL6ST/ID2/NOTCH1/BMP2/HDAC1/DICER1/PRMT5/RHEB	22
MAYO	TCX	ora_up	BP	GO:0050818	regulation of coagulation	22/2803	56/13000	0.0019541379038625255	0.012644333792770707	0.008665505942866199	ANO6/ANXA2/EMILIN1/SERPINE1/THBD/THBS1/CD34/NOS3/PRKG1/TFPI/CAV1/EMILIN2/SERPING1/PLAUR/APOE/NFE2L2/C1QTNF1/ANXA5/PROS1/FAP/PLAT/PROCR	22
MAYO	TCX	ora_up	BP	GO:0001945	lymph vessel development	13/2803	27/13000	0.0019555150631639074	0.012644333792770707	0.008665505942866199	FGF2/PDPN/EPHA2/FOXC1/VEGFC/HEG1/FLT4/TMEM204/CLEC14A/ACVRL1/TIE1/PTPN14/EFNB2	13
MAYO	TCX	ora_up	BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	13/2803	27/13000	0.0019555150631639074	0.012644333792770707	0.008665505942866199	FCER1G/AZGP1/MR1/B2M/TAP1/HLA-C/HLA-E/HLA-B/HFE/HLA-A/TAPBPL/IDE/TAPBP	13
MAYO	TCX	ora_up	BP	GO:0017145	stem cell division	13/2803	27/13000	0.0019555150631639074	0.012644333792770707	0.008665505942866199	TGFB2/FZD7/SFRP2/WWTR1/CDK2AP2/ZFP36L2/SOX17/ZBTB16/NOTCH1/MLLT3/NCOA3/CUL3/THOC2	13
MAYO	TCX	ora_up	BP	GO:0002821	positive regulation of adaptive immune response	30/2803	84/13000	0.0020068798280821762	0.01296176178884785	0.00888304798434657	IL1R1/IL18R1/AZGP1/TREM2/PTPRC/HLA-DRB1/TGFB1/C3/HLA-DRA/MR1/B2M/SASH3/HLA-E/HLA-B/PLA2G4A/ARID5A/CD40/CD55/NFKBIZ/CD81/NECTIN2/FADD/IL6ST/TNFSF13/HLA-A/STAT6/IL27RA/RIPK2/SIRT1/JAK2	30
MAYO	TCX	ora_up	BP	GO:0033077	T cell differentiation in thymus	24/2803	63/13000	0.002040395807370413	0.01316332272560347	0.009021183177859422	FOXJ1/ITPKB/FZD7/GLI2/ZFP36L1/PTPRC/ERBB2/FZD8/MR1/B2M/ZFP36L2/GLI3/TP53/WNT4/BCL2/FADD/SOS1/ZEB1/SOS2/ABL1/RIPK2/RABL3/CTNNB1/STAT5B	24
MAYO	TCX	ora_up	BP	GO:0061326	renal tubule development	28/2803	77/13000	0.002054543284613035	0.013235788612840596	0.009070846021849467	NPNT/HS3ST3B1/YAP1/FGF2/NOTCH2/SMO/AQP1/WWTR1/IRX3/MYC/NOG/SOX9/LGR4/AGT/HEYL/LAMA5/COL4A1/GLI3/SALL1/WNT4/BCL2/DCHS1/HS2ST1/SMAD4/NOTCH1/JAG1/BMP2/CTNNB1	28
MAYO	TCX	ora_up	BP	GO:0019216	regulation of lipid metabolic process	77/2803	264/13000	0.0020562701579829507	0.013235788612840596	0.009070846021849467	FMO2/ANXA1/FGF2/SPHK1/FLT1/BMP6/FGR/PDK4/TREM2/SNAI2/TGFB1/C3/PDGFRB/CAPN2/LDLR/IGFBP7/CAV1/RDH10/CPT1A/SOX9/PPARA/SORBS1/APOC1/ADGRF5/GPER1/APOE/PRKD1/RARRES2/MID1IP1/NPC2/TSPO/PLPP1/ERLIN2/ZMPSTE24/NFKB1/DAB2/ELOVL5/APPL2/VAV3/ABHD5/REST/WNT4/CD81/CERS2/DKK3/PIP4K2A/LYN/IDH1/ACACB/RORA/ZBTB20/SEC14L2/IGF1R/ID2/TEK/STARD4/LPIN1/ALK/BMP2/GOLM1/CDK4/PDE3B/CREBL2/IRS2/MTMR3/PNPLA2/ACADVL/LPCAT3/ERLIN1/CRTC3/ABCD1/SIRT1/NR1H3/POR/CTDNEP1/AKT1/STAT5B	77
MAYO	TCX	ora_up	BP	GO:0071621	granulocyte chemotaxis	26/2803	70/13000	0.002069482908053603	0.013275964832911706	0.009098379878475994	S100A9/S100A8/CCL2/TGFB2/ANXA1/CXCL1/JAML/FCER1G/CXCL5/CSF1/C5AR1/ITGA1/C3AR1/THBS1/RAC2/ITGB2/LGALS3/RARRES2/THBS4/HRH1/VAV3/PREX1/PDE4B/BSG/PIKFYVE/MAPK3	26
MAYO	TCX	ora_up	BP	GO:0021513	spinal cord dorsal/ventral patterning	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	GLI2/SMO/RFX4/ASCL1/DLL4/GLI3/TULP3/SUFU	8
MAYO	TCX	ora_up	BP	GO:0032352	positive regulation of hormone metabolic process	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	BMP6/RDH10/SLCO1C1/DAB2/WNT4/IGF1R/HIF1A/POR	8
MAYO	TCX	ora_up	BP	GO:0033631	cell-cell adhesion mediated by integrin	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	NPNT/ITGA5/PLPP3/SWAP70/PODXL/ITGB1/FERMT3/PIEZO1	8
MAYO	TCX	ora_up	BP	GO:0036005	response to macrophage colony-stimulating factor	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	TLR4/CSF1/TREM2/TLR2/SPP1/DOK1/ALPL/FER	8
MAYO	TCX	ora_up	BP	GO:0046184	aldehyde biosynthetic process	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	BMP6/DAB2/REST/WNT4/DKK3/KDM3A/BMP2/TKT	8
MAYO	TCX	ora_up	BP	GO:0070278	extracellular matrix constituent secretion	8/2803	13/13000	0.0020788070481834392	0.013275964832911706	0.009098379878475994	TNFRSF1A/TNFRSF1B/AGT/RGCC/ENG/NOTCH1/BMP2/TMEM38B	8
MAYO	TCX	ora_up	BP	GO:0031102	neuron projection regeneration	21/2803	53/13000	0.002166291792796965	0.013772978923434886	0.00943899715619918	TNC/GFAP/HGF/PRRX1/LAMB2/KLF4/RGMA/FLNA/SPP1/MMP2/TSPO/DAG1/BCL2/CERS2/PTN/KREMEN1/IGF1R/CTNNA1/GRN/SCARF1/JAK2	21
MAYO	TCX	ora_up	BP	GO:0032481	positive regulation of type I interferon production	21/2803	53/13000	0.002166291792796965	0.013772978923434886	0.00943899715619918	TLR4/TLR2/IFIH1/MYD88/ZC3HAV1/CD14/IRF1/TLR3/IRAK1/OAS2/NMB/RNF135/IRF7/ZBTB20/G3BP1/TICAM1/TRIM56/DDX3X/RIPK2/CHUK/DHX9	21
MAYO	TCX	ora_up	BP	GO:0035904	aorta development	21/2803	53/13000	0.002166291792796965	0.013772978923434886	0.00943899715619918	APLNR/TGFB2/ADAMTS9/COL3A1/PDGFRB/SMAD6/DLL4/NKX3-1/NGFR/BMPR1A/FKBP10/TBX2/ENG/ACVRL1/NOTCH1/JAG1/LRP1/EFEMP2/SUFU/EFNB2/SEC24B	21
MAYO	TCX	ora_up	BP	GO:0120192	tight junction assembly	21/2803	53/13000	0.002166291792796965	0.013772978923434886	0.00943899715619918	CLDN10/PECAM1/PARD3/EPHA2/SNAI2/RAB13/ESAM/MARVELD2/PRKCH/OCLN/CDH5/MYO1C/MICALL2/ROCK1/CLDN5/F11R/LSR/APC/TJP1/PAK2/ECT2	21
MAYO	TCX	ora_up	BP	GO:0009913	epidermal cell differentiation	40/2803	121/13000	0.002187901379342841	0.013890922631321894	0.009519827187924766	MSX2/YAP1/ANXA1/FGF2/CD109/ALOX15B/IRF6/ETV4/GLI1/EPHA2/DSP/MAFF/ZFP36L1/KLF4/PALLD/ZFP36/FOXC1/FLG/LATS2/PLEC/CDH23/TXNIP/PRKCH/FOSL2/PAX6/CLIC4/ST14/SLC9A3R1/KCNQ1/ROCK1/SCRIB/NOTCH1/JAG1/HDAC1/KEAP1/ERRFI1/SEC24B/MED1/NCOA3/CTNNB1	40
MAYO	TCX	ora_up	BP	GO:0035148	tube formation	44/2803	136/13000	0.0021897140882971037	0.013890922631321894	0.009519827187924766	TGFB2/EGF/FGF2/TEAD2/SFRP2/TGM2/MMRN2/IRX3/RGMA/TGFB1/ATOH8/SDC4/PODXL/VASP/NOG/BMP7/SOX9/FZD1/PLXNB2/ST14/FZD6/DLC1/EDA/WNT4/HS2ST1/TULP3/HIF1A/SCRIB/NOTCH1/RARG/STK3/BCL2L11/NFIB/PTK7/ABL1/SUFU/SKI/ARHGAP35/DVL1/PHACTR4/SEC24B/CTNNB1/MED12/RALA	44
MAYO	TCX	ora_up	BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	49/2803	155/13000	0.002198887782443025	0.013933618914747302	0.009549088112527429	TGFB2/HGF/RELL1/FZD7/SFRP2/TPD52L1/TLR4/SPHK1/MECOM/EZR/EGFR/TREM2/FAS/MYC/SASH1/EDA2R/MYD88/FOXO1/LTBR/GADD45G/TLR3/FLT4/SPI1/PRDX1/ZMPSTE24/MDFIC/DUSP1/MFHAS1/EPHB1/MAP3K5/LYN/IGF1R/MID1/STK3/AIDA/BMP2/SDCBP/PHLPP1/RIPK1/HIPK3/PER1/NOD1/GSTP1/RIPK2/MINK1/CRK/PDCD10/MAPK3/MBIP	49
MAYO	TCX	ora_up	BP	GO:0110053	regulation of actin filament organization	68/2803	229/13000	0.00223407711993965	0.014140889916776719	0.009691136569117261	SCIN/S100A10/CDC42EP4/FLNA/S1PR1/ESAM/CGNL1/RHPN2/EPS8/SWAP70/CAPG/SDC4/VASP/RHOC/ASAP3/RGCC/ID1/WASF2/FERMT2/HCLS1/GSN/PLEK/CARMIL1/KANK1/DLC1/ARHGEF10L/KANK3/ADD3/WNT4/PLEKHG2/PIK3CA/ROCK1/TMOD3/COTL1/ARHGEF10/TMSB10/F11R/RHOA/WDR1/CYFIP1/TWF1/PXN/PPFIA1/PLEKHH2/FER/ARAP1/SVIL/CTNNA2/TGFBR1/CORO1B/RAPGEF3/TJP1/RDX/ARPC1B/SORBS3/ARHGAP18/ABL1/FCHSD2/CAPZA2/ARHGAP35/PAK2/ARFIP1/BRK1/TESK1/FLII/ARF6/ADD1/HAX1	68
MAYO	TCX	ora_up	BP	GO:0001657	ureteric bud development	27/2803	74/13000	0.0023142777146124265	0.014599917927471978	0.01000572095290631	NPNT/FOXJ1/HS3ST3B1/FGF2/SMO/MYC/FOXC1/SMAD6/SDC4/CAT/NOG/BMP7/SOX9/LGR4/AGT/LAMA5/GLI3/SMAD1/SALL1/WNT4/BCL2/DCHS1/SMAD5/HS2ST1/SMAD4/BMP2/CTNNB1	27
MAYO	TCX	ora_up	BP	GO:0001776	leukocyte homeostasis	27/2803	74/13000	0.0023142777146124265	0.014599917927471978	0.01000572095290631	ANXA1/ITPKB/CSF1/MERTK/FAS/SLC7A11/TNFAIP3/SASH3/TRAF3IP2/GPAM/AXL/XKR8/BCL2/PDE4B/SLC40A1/LYN/TCIRG1/FADD/SOS1/HIF1A/TSC22D3/SOS2/BCL2L11/ABL1/BAX/AKT1/STAT5B	27
MAYO	TCX	ora_up	BP	GO:0072080	nephron tubule development	27/2803	74/13000	0.0023142777146124265	0.014599917927471978	0.01000572095290631	NPNT/HS3ST3B1/YAP1/FGF2/NOTCH2/SMO/AQP1/WWTR1/IRX3/MYC/NOG/SOX9/LGR4/AGT/HEYL/LAMA5/GLI3/SALL1/WNT4/BCL2/DCHS1/HS2ST1/SMAD4/NOTCH1/JAG1/BMP2/CTNNB1	27
